timestamp,tag,pressure,temperature,flow,unit
2026-09-07T21:46:46.873Z,E-101,7.914,40.16,111.1,Unit 100
2026-09-07T22:01:46.873Z,P-101A,8.021,39.94,111,Unit 100
2026-09-07T22:16:46.873Z,E-101,8.121,39.73,111.03,Unit 100
2026-09-07T22:31:46.873Z,P-101A,8.212,39.55,111.19,Unit 100
2026-09-07T22:46:46.873Z,E-101,8.291,39.39,111.48,Unit 100
2026-09-07T23:01:46.873Z,P-101A,8.356,39.25,111.89,Unit 100
2026-09-07T23:16:46.873Z,E-101,8.405,39.15,112.41,Unit 100
2026-09-07T23:31:46.873Z,P-101A,8.437,39.07,113.05,Unit 100
2026-09-07T23:46:46.873Z,E-101,8.45,39.02,113.78,Unit 100
2026-09-08T00:01:46.873Z,P-101A,8.444,39,114.6,Unit 100
2026-09-08T00:16:46.873Z,E-101,8.42,39.01,115.5,Unit 100
2026-09-08T00:31:46.873Z,P-101A,8.378,39.05,116.47,Unit 100
2026-09-08T00:46:46.873Z,E-101,8.319,39.12,117.49,Unit 100
2026-09-08T01:01:46.873Z,P-101A,8.245,39.22,118.54,Unit 100
2026-09-08T01:16:46.873Z,E-101,8.159,39.35,119.61,Unit 100
2026-09-08T01:31:46.873Z,P-101A,8.062,39.5,120.69,Unit 100
2026-09-08T01:46:46.873Z,E-101,7.958,39.68,121.76,Unit 100
2026-09-08T02:01:46.873Z,P-101A,7.849,39.88,122.8,Unit 100
2026-09-08T02:16:46.873Z,E-101,7.738,40.11,123.81,Unit 100
2026-09-08T02:31:46.873Z,P-101A,7.63,40.35,124.76,Unit 100
2026-09-08T02:46:46.873Z,E-101,7.526,40.61,125.64,Unit 100
2026-09-08T03:01:46.873Z,P-101A,7.43,40.88,126.44,Unit 100
2026-09-08T03:16:46.873Z,E-101,7.345,41.16,127.14,Unit 100
2026-09-08T03:31:46.873Z,P-101A,7.273,41.45,127.75,Unit 100
2026-09-08T03:46:46.873Z,E-101,7.216,41.75,128.24,Unit 100
2026-09-08T04:01:46.873Z,P-101A,7.176,42.05,128.61,Unit 100
2026-09-08T04:16:46.873Z,E-101,7.154,42.35,128.86,Unit 100
2026-09-08T04:31:46.873Z,P-101A,7.151,42.65,128.99,Unit 100
2026-09-08T04:46:46.873Z,E-101,7.166,42.93,128.98,Unit 100
2026-09-08T05:01:46.873Z,P-101A,7.2,43.21,128.84,Unit 100
2026-09-08T05:16:46.873Z,E-101,7.251,43.48,128.58,Unit 100
2026-09-08T05:31:46.873Z,P-101A,7.318,43.74,128.2,Unit 100
2026-09-08T05:46:46.873Z,E-101,7.398,43.97,127.69,Unit 100
2026-09-08T06:01:46.873Z,P-101A,7.49,44.19,127.08,Unit 100
2026-09-08T06:16:46.873Z,E-101,7.592,44.38,126.36,Unit 100
2026-09-08T06:31:46.873Z,P-101A,7.699,44.55,125.55,Unit 100
2026-09-08T06:46:46.873Z,E-101,7.809,44.7,124.66,Unit 100
2026-09-08T07:01:46.873Z,P-101A,7.919,44.81,123.71,Unit 100
2026-09-08T07:16:46.873Z,E-101,8.025,44.9,122.7,Unit 100
2026-09-08T07:31:46.873Z,P-101A,8.125,44.96,121.65,Unit 100
2026-09-08T07:46:46.873Z,E-101,8.216,45,120.58,Unit 100
2026-09-08T08:01:46.873Z,P-101A,8.294,45,119.5,Unit 100
2026-09-08T08:16:46.873Z,E-101,8.358,44.97,118.43,Unit 100
2026-09-08T08:31:46.873Z,P-101A,8.407,44.91,117.38,Unit 100
2026-09-08T08:46:46.873Z,E-101,8.437,44.82,116.37,Unit 100
2026-09-08T09:01:46.873Z,P-101A,8.45,44.71,115.41,Unit 100
2026-09-08T09:16:46.873Z,E-101,8.443,44.56,114.52,Unit 100
2026-09-08T09:31:46.873Z,P-101A,8.418,44.4,113.7,Unit 100
2026-09-08T09:46:46.873Z,E-101,8.376,44.2,112.98,Unit 100
2026-09-08T10:01:46.873Z,P-101A,8.316,43.99,112.35,Unit 100
2026-09-08T10:16:46.873Z,E-101,8.242,43.75,111.84,Unit 100
2026-09-08T10:31:46.873Z,P-101A,8.155,43.5,111.44,Unit 100
2026-09-08T10:46:46.873Z,E-101,8.058,43.24,111.17,Unit 100
2026-09-08T11:01:46.873Z,P-101A,7.953,42.96,111.03,Unit 100
2026-09-08T11:16:46.873Z,E-101,7.844,42.67,111.01,Unit 100
2026-09-08T11:31:46.873Z,P-101A,7.734,42.37,111.12,Unit 100
2026-09-08T11:46:46.873Z,E-101,7.625,42.07,111.36,Unit 100
2026-09-08T12:01:46.873Z,P-101A,7.522,41.77,111.73,Unit 100
2026-09-08T12:16:46.873Z,E-101,7.427,41.48,112.21,Unit 100
2026-09-08T12:31:46.873Z,P-101A,7.342,41.18,112.8,Unit 100
2026-09-08T12:46:46.873Z,E-101,7.271,40.9,113.5,Unit 100
2026-09-08T13:01:46.873Z,P-101A,7.214,40.63,114.3,Unit 100
2026-09-08T13:16:46.873Z,E-101,7.175,40.37,115.17,Unit 100
2026-09-08T13:31:46.873Z,P-101A,7.154,40.12,116.11,Unit 100
2026-09-08T13:46:46.873Z,E-101,7.151,39.9,117.11,Unit 100
2026-09-08T14:01:46.873Z,P-101A,7.167,39.7,118.16,Unit 100
2026-09-08T14:16:46.873Z,E-101,7.202,39.52,119.22,Unit 100
2026-09-08T14:31:46.873Z,P-101A,7.253,39.36,120.3,Unit 100
2026-09-08T14:46:46.873Z,E-101,7.321,39.23,121.38,Unit 100
2026-09-08T15:01:46.873Z,P-101A,7.402,39.13,122.43,Unit 100
2026-09-08T15:16:46.873Z,E-101,7.494,39.06,123.45,Unit 100
2026-09-08T15:31:46.873Z,P-101A,7.596,39.01,124.42,Unit 100
2026-09-08T15:46:46.873Z,E-101,7.703,39,125.33,Unit 100
2026-09-08T16:01:46.873Z,P-101A,7.813,39.02,126.16,Unit 100
2026-09-08T16:16:46.873Z,E-101,7.923,39.06,126.9,Unit 100
2026-09-08T16:31:46.873Z,P-101A,8.029,39.14,127.54,Unit 100
2026-09-08T16:46:46.873Z,E-101,8.129,39.24,128.08,Unit 100
2026-09-08T17:01:46.873Z,P-101A,8.219,39.37,128.49,Unit 100
2026-09-08T17:16:46.873Z,E-101,8.297,39.53,128.79,Unit 100
2026-09-08T17:31:46.873Z,P-101A,8.361,39.71,128.96,Unit 100
2026-09-08T17:46:46.873Z,E-101,8.408,39.92,129,Unit 100
2026-09-08T18:01:46.873Z,P-101A,8.438,40.15,128.91,Unit 100
2026-09-08T18:16:46.873Z,E-101,8.45,40.39,128.69,Unit 100
2026-09-08T18:31:46.873Z,P-101A,8.443,40.65,128.35,Unit 100
2026-09-08T18:46:46.873Z,E-101,8.417,40.93,127.89,Unit 100
2026-09-08T19:01:46.873Z,P-101A,8.374,41.21,127.31,Unit 100
2026-09-08T19:16:46.873Z,E-101,8.314,41.5,126.63,Unit 100
2026-09-08T19:31:46.873Z,P-101A,8.239,41.8,125.85,Unit 100
2026-09-08T19:46:46.873Z,E-101,8.151,42.1,124.99,Unit 100
2026-09-08T20:01:46.873Z,P-101A,8.054,42.4,124.06,Unit 100
2026-09-08T20:16:46.873Z,E-101,7.949,42.69,123.07,Unit 100
2026-09-08T20:31:46.873Z,P-101A,7.84,42.98,122.03,Unit 100
2026-09-08T20:46:46.873Z,E-101,7.729,43.26,120.97,Unit 100
2026-09-08T21:01:46.873Z,P-101A,7.621,43.53,119.89,Unit 100
2026-09-08T21:16:46.873Z,E-101,7.518,43.78,118.82,Unit 100
2026-09-08T21:31:46.873Z,P-101A,7.423,44.01,117.76,Unit 100
2026-09-08T21:46:46.873Z,E-101,7.339,44.22,116.73,Unit 100
2026-09-08T22:01:46.873Z,P-101A,7.268,44.41,115.75,Unit 100
2026-09-08T22:16:46.873Z,E-101,7.212,44.58,114.83,Unit 100
2026-09-08T22:31:46.873Z,P-101A,7.174,44.72,113.98,Unit 100
2026-09-08T22:46:46.873Z,E-101,7.153,44.83,113.23,Unit 100
2026-09-08T23:01:46.873Z,P-101A,7.152,44.92,112.57,Unit 100
2026-09-08T23:16:46.873Z,E-101,7.168,44.97,112.01,Unit 100
2026-09-08T23:31:46.873Z,P-101A,7.203,45,111.57,Unit 100
2026-09-08T23:46:46.873Z,E-101,7.256,44.99,111.26,Unit 100
2026-09-09T00:01:46.873Z,P-101A,7.324,44.96,111.06,Unit 100
2026-09-09T00:16:46.873Z,E-101,7.405,44.9,111,Unit 100
2026-09-09T00:31:46.873Z,P-101A,7.498,44.8,111.07,Unit 100
2026-09-09T00:46:46.873Z,E-101,7.6,44.68,111.26,Unit 100
2026-09-09T01:01:46.873Z,P-101A,7.708,44.54,111.58,Unit 100
2026-09-09T01:16:46.873Z,E-101,7.818,44.36,112.02,Unit 100
2026-09-09T01:31:46.873Z,P-101A,7.927,44.17,112.58,Unit 100
2026-09-09T01:46:46.873Z,E-101,8.033,43.95,113.24,Unit 100
2026-09-09T02:01:46.873Z,P-101A,8.133,43.71,114,Unit 100
2026-09-09T02:16:46.873Z,E-101,8.222,43.46,114.85,Unit 100
2026-09-09T02:31:46.873Z,P-101A,8.3,43.19,115.77,Unit 100
2026-09-09T02:46:46.873Z,E-101,8.363,42.91,116.75,Unit 100
2026-09-09T03:01:46.873Z,P-101A,8.41,42.62,117.78,Unit 100
2026-09-09T03:16:46.873Z,E-101,8.439,42.32,118.84,Unit 100
2026-09-09T03:31:46.873Z,P-101A,8.45,42.02,119.91,Unit 100
2026-09-09T03:46:46.873Z,E-101,8.442,41.72,120.99,Unit 100
2026-09-09T04:01:46.873Z,P-101A,8.416,41.43,122.06,Unit 100
2026-09-09T04:16:46.873Z,E-101,8.372,41.14,123.09,Unit 100
2026-09-09T04:31:46.873Z,P-101A,8.311,40.85,124.08,Unit 100
2026-09-09T04:46:46.873Z,E-101,8.236,40.58,125.01,Unit 100
2026-09-09T05:01:46.873Z,P-101A,8.148,40.33,125.87,Unit 100
2026-09-09T05:16:46.873Z,E-101,8.05,40.09,126.64,Unit 100
2026-09-09T05:31:46.873Z,P-101A,7.945,39.86,127.32,Unit 100
2026-09-09T05:46:46.873Z,E-101,7.835,39.66,127.9,Unit 100
2026-09-09T06:01:46.873Z,P-101A,7.725,39.49,128.36,Unit 100
2026-09-09T06:16:46.873Z,E-101,7.617,39.34,128.7,Unit 100
2026-09-09T06:31:46.873Z,P-101A,7.514,39.21,128.91,Unit 100
2026-09-09T06:46:46.873Z,E-101,7.419,39.12,129,Unit 100
2026-09-09T07:01:46.873Z,P-101A,7.336,39.05,128.96,Unit 100
2026-09-09T07:16:46.873Z,E-101,7.265,39.01,128.78,Unit 100
2026-09-09T07:31:46.873Z,P-101A,7.211,39,128.49,Unit 100
2026-09-09T07:46:46.873Z,E-101,7.173,39.02,128.07,Unit 100
2026-09-09T08:01:46.873Z,P-101A,7.153,39.07,127.53,Unit 100
2026-09-09T08:16:46.873Z,E-101,7.152,39.15,126.89,Unit 100
2026-09-09T08:31:46.873Z,P-101A,7.169,39.26,126.14,Unit 100
2026-09-09T08:46:46.873Z,E-101,8.905,39.4,125.31,Unit 100
2026-09-09T09:01:46.873Z,P-101A,8.958,39.56,124.4,Unit 100
2026-09-09T09:16:46.873Z,E-101,9.027,39.75,123.43,Unit 100
2026-09-09T09:31:46.873Z,P-101A,9.109,39.96,122.41,Unit 100
2026-09-09T09:46:46.873Z,E-101,9.202,40.19,121.36,Unit 100
2026-09-09T10:01:46.873Z,P-101A,9.304,40.43,120.28,Unit 100
2026-09-09T10:16:46.873Z,E-101,9.412,40.7,119.2,Unit 100
2026-09-09T10:31:46.873Z,P-101A,9.522,40.97,118.13,Unit 100
2026-09-09T10:46:46.873Z,E-101,9.632,41.26,117.09,Unit 100
2026-09-09T11:01:46.873Z,P-101A,9.738,41.55,116.09,Unit 100
2026-09-09T11:16:46.873Z,E-101,9.836,41.85,115.15,Unit 100
2026-09-09T11:31:46.873Z,P-101A,9.926,42.15,114.28,Unit 100
2026-09-09T11:46:46.873Z,E-101,10.003,42.45,113.49,Unit 100
2026-09-09T12:01:46.873Z,P-101A,10.065,42.74,112.79,Unit 100
